Indicator,Year,Geography,FIPS,Race,Sex,Age group,Misc,Rate,Cases,Population
AIDS deaths,2003,Utah,49,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.1,21,"1,834,149"
AIDS deaths,2003,Vermont,50,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.3,7,"521,074"
AIDS deaths,2003,Virginia,51,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.6,342,"6,093,344"
AIDS deaths,2003,Washington,53,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4,202,"5,037,673"
AIDS deaths,2003,West Virginia,54,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.8,43,"1,527,546"
AIDS deaths,2003,Wisconsin,55,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.1,96,"4,535,759"
AIDS deaths,2003,Wyoming,56,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.2,5,"414,034"
AIDS deaths,2004,Alabama,1,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.8,254,"3,725,740"
AIDS deaths,2004,Alaska,2,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.1,11,"531,838"
AIDS deaths,2004,American Samoa,60,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,"41,493"
AIDS deaths,2004,Arizona,4,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.4,253,"4,646,226"
AIDS deaths,2004,Arkansas,5,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.2,95,"2,260,440"
AIDS deaths,2004,California,6,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.4,"1,831","28,751,763"
AIDS deaths,2004,Colorado,8,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.3,126,"3,771,348"
AIDS deaths,2004,Connecticut,9,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.3,297,"2,879,604"
AIDS deaths,2004,Delaware,10,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,13.4,92,"684,526"
AIDS deaths,2004,District of Columbia,11,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,74.5,369,"495,199"
AIDS deaths,2004,Florida,12,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,16.4,"2,400","14,601,930"
AIDS deaths,2004,Georgia,13,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,11.4,825,"7,207,149"
AIDS deaths,2004,Guam,66,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.4,3,"123,018"
AIDS deaths,2004,Hawaii,15,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.3,55,"1,042,212"
AIDS deaths,2004,Idaho,16,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.6,7,"1,118,512"
AIDS deaths,2004,Illinois,17,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.8,603,"10,329,277"
AIDS deaths,2004,Indiana,18,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3,155,"5,088,538"
AIDS deaths,2004,Iowa,19,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.3,32,"2,440,390"
AIDS deaths,2004,Kansas,20,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.7,37,"2,233,119"
AIDS deaths,2004,Kentucky,21,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.9,99,"3,437,780"
AIDS deaths,2004,Louisiana,22,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,13.3,486,"3,658,664"
AIDS deaths,2004,Maine,23,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.1,23,"1,110,432"
AIDS deaths,2004,Maryland,24,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,17,774,"4,564,536"
AIDS deaths,2004,Massachusetts,25,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,323,"5,405,149"
AIDS deaths,2004,Michigan,26,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,306,"8,305,095"
AIDS deaths,2004,Minnesota,27,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.7,72,"4,185,808"
AIDS deaths,2004,Mississippi,28,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9.4,219,"2,342,053"
AIDS deaths,2004,Missouri,29,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.5,214,"4,755,256"
AIDS deaths,2004,Montana,30,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.6,5,"774,848"
AIDS deaths,2004,Nebraska,31,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.2,17,"1,425,825"
AIDS deaths,2004,Nevada,32,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.4,120,"1,888,681"
AIDS deaths,2004,New Hampshire,33,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.4,15,"1,080,347"
AIDS deaths,2004,New Jersey,34,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,13.1,931,"7,100,059"
AIDS deaths,2004,New Mexico,35,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.3,36,"1,539,356"
AIDS deaths,2004,New York,36,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,16.8,"2,696","16,034,424"
AIDS deaths,2004,North Carolina,37,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.7,398,"7,030,521"
AIDS deaths,2004,North Dakota,38,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.1,6,"534,859"
AIDS deaths,2004,Northern Mariana Islands,69,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,"64,979"
AIDS deaths,2004,Ohio,39,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.7,258,"9,473,030"
AIDS deaths,2004,Oklahoma,40,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,92,"2,886,303"
AIDS deaths,2004,Oregon,41,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,96,"2,973,801"
AIDS deaths,2004,Pennsylvania,42,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.1,737,"10,406,537"
AIDS deaths,2004,Puerto Rico,72,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,21.3,671,"3,153,337"
AIDS deaths,2004,Rhode Island,44,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.1,46,"898,544"
AIDS deaths,2004,South Carolina,45,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9.5,331,"3,474,605"
AIDS deaths,2004,South Dakota,46,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.8,5,"636,806"
AIDS deaths,2004,Tennessee,47,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.6,372,"4,896,355"
AIDS deaths,2004,Texas,48,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.6,"1,366","17,859,437"
AIDS deaths,2004,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,16,14,"87,445"
AIDS deaths,2004,Utah,49,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.3,44,"1,878,925"
AIDS deaths,2004,Vermont,50,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.7,9,"524,697"
AIDS deaths,2004,Virginia,51,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.1,313,"6,179,207"
AIDS deaths,2004,Washington,53,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.3,169,"5,107,379"
AIDS deaths,2004,West Virginia,54,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.1,48,"1,529,376"
AIDS deaths,2004,Wisconsin,55,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.7,76,"4,576,243"
AIDS deaths,2004,Wyoming,56,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1,4,"417,898"
AIDS deaths,2005,Alabama,1,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.1,231,"3,757,364"
AIDS deaths,2005,Alaska,2,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.7,9,"540,712"
AIDS deaths,2005,American Samoa,60,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,"42,528"
AIDS deaths,2005,Arizona,4,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.2,202,"4,819,270"
AIDS deaths,2005,Arkansas,5,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.3,99,"2,285,144"
AIDS deaths,2005,California,6,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,"1,728","29,035,385"
AIDS deaths,2005,Colorado,8,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,139,"3,824,082"
AIDS deaths,2005,Connecticut,9,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9,261,"2,890,681"
AIDS deaths,2005,Delaware,10,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,14.8,103,"696,358"
AIDS deaths,2005,District of Columbia,11,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,68,339,"498,862"
AIDS deaths,2005,Florida,12,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.8,"2,356","14,951,599"
AIDS deaths,2005,Georgia,13,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,11.5,847,"7,351,551"
AIDS deaths,2005,Guam,66,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.8,1,"125,501"
AIDS deaths,2005,Hawaii,15,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.7,29,"1,056,986"
AIDS deaths,2005,Idaho,16,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.4,16,"1,145,422"
AIDS deaths,2005,Illinois,17,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.2,646,"10,375,107"
AIDS deaths,2005,Indiana,18,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.1,161,"5,126,419"
AIDS deaths,2005,Iowa,19,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.3,31,"2,450,075"
AIDS deaths,2005,Kansas,20,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2,46,"2,244,928"
AIDS deaths,2005,Kentucky,21,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.7,93,"3,470,442"
AIDS deaths,2005,Louisiana,22,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,14.2,523,"3,671,779"
AIDS deaths,2005,Maine,23,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,17,"1,116,471"
AIDS deaths,2005,Maryland,24,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,17.9,826,"4,610,293"
AIDS deaths,2005,Massachusetts,25,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.6,302,"5,421,895"
AIDS deaths,2005,Michigan,26,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,306,"8,335,460"
AIDS deaths,2005,Minnesota,27,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.6,67,"4,215,745"
AIDS deaths,2005,Mississippi,28,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9.3,220,"2,356,453"
AIDS deaths,2005,Missouri,29,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.8,184,"4,802,739"
AIDS deaths,2005,Montana,30,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.8,14,"783,936"
AIDS deaths,2005,Nebraska,31,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.9,27,"1,434,890"
AIDS deaths,2005,Nevada,32,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.9,135,"1,954,337"
AIDS deaths,2005,New Hampshire,33,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.4,15,"1,091,153"
AIDS deaths,2005,New Jersey,34,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,12.3,880,"7,125,713"
AIDS deaths,2005,New Mexico,35,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,50,"1,562,245"
AIDS deaths,2005,New York,36,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,16.4,"2,642","16,115,032"
AIDS deaths,2005,North Carolina,37,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,428,"7,145,354"
AIDS deaths,2005,North Dakota,38,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.3,7,"534,635"
AIDS deaths,2005,Northern Mariana Islands,69,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,"56,699"
AIDS deaths,2005,Ohio,39,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.1,299,"9,505,295"
AIDS deaths,2005,Oklahoma,40,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.1,118,"2,902,250"
AIDS deaths,2005,Oregon,41,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3,91,"3,016,649"
AIDS deaths,2005,Pennsylvania,42,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,631,"10,454,032"
AIDS deaths,2005,Puerto Rico,72,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,21.6,688,"3,182,048"
AIDS deaths,2005,Rhode Island,44,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.1,37,"896,408"
AIDS deaths,2005,South Carolina,45,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9,317,"3,525,810"
AIDS deaths,2005,South Dakota,46,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.9,6,"642,082"
AIDS deaths,2005,Tennessee,47,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.4,369,"4,966,590"
AIDS deaths,2005,Texas,48,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.2,"1,304","18,170,075"
AIDS deaths,2005,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,12.5,11,"88,210"
AIDS deaths,2005,Utah,49,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.2,42,"1,925,007"
AIDS deaths,2005,Vermont,50,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.9,10,"527,289"
AIDS deaths,2005,Virginia,51,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5,316,"6,265,336"
AIDS deaths,2005,Washington,53,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,193,"5,185,697"
AIDS deaths,2005,West Virginia,54,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.2,33,"1,531,553"
AIDS deaths,2005,Wisconsin,55,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.1,95,"4,611,832"
AIDS deaths,2005,Wyoming,56,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.9,8,"420,863"
AIDS deaths,2006,Alabama,1,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.7,254,"3,803,743"
AIDS deaths,2006,Alaska,2,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.9,16,"548,320"
AIDS deaths,2006,American Samoa,60,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,"43,548"
AIDS deaths,2006,Arizona,4,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.4,218,"4,992,176"
AIDS deaths,2006,Arkansas,5,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.3,99,"2,316,835"
AIDS deaths,2006,California,6,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.8,"1,689","29,255,213"
AIDS deaths,2006,Colorado,8,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.3,128,"3,901,664"
AIDS deaths,2006,Connecticut,9,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.7,223,"2,905,373"
AIDS deaths,2006,Delaware,10,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,13.7,97,"708,345"
AIDS deaths,2006,District of Columbia,11,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,64.6,324,"501,904"
AIDS deaths,2006,Florida,12,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.8,"2,405","15,209,155"
AIDS deaths,2006,Georgia,13,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.6,801,"7,541,296"
AIDS deaths,2006,Guam,66,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.6,2,"127,974"
AIDS deaths,2006,Hawaii,15,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,38,"1,067,223"
AIDS deaths,2006,Idaho,16,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.8,9,"1,175,924"
AIDS deaths,2006,Illinois,17,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.7,597,"10,431,741"
AIDS deaths,2006,Indiana,18,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,192,"5,170,411"
AIDS deaths,2006,Iowa,19,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.3,31,"2,463,199"
AIDS deaths,2006,Kansas,20,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2,46,"2,258,903"
AIDS deaths,2006,Kentucky,21,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.5,122,"3,502,711"
AIDS deaths,2006,Louisiana,22,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,14,487,"3,488,651"
AIDS deaths,2006,Maine,23,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2,23,"1,122,094"
AIDS deaths,2006,Maryland,24,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.3,710,"4,645,672"
AIDS deaths,2006,Massachusetts,25,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.6,306,"5,447,122"
AIDS deaths,2006,Michigan,26,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.3,275,"8,354,732"
AIDS deaths,2006,Minnesota,27,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.8,76,"4,255,106"
AIDS deaths,2006,Mississippi,28,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9.5,224,"2,357,985"
AIDS deaths,2006,Missouri,29,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4,192,"4,852,675"
AIDS deaths,2006,Montana,30,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.1,9,"794,590"
AIDS deaths,2006,Nebraska,31,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2,29,"1,442,066"
AIDS deaths,2006,Nevada,32,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,121,"2,021,470"
AIDS deaths,2006,New Hampshire,33,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,17,"1,103,428"
AIDS deaths,2006,New Jersey,34,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,11.4,816,"7,145,838"
AIDS deaths,2006,New Mexico,35,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.1,65,"1,585,749"
AIDS deaths,2006,New York,36,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.2,"2,459","16,181,461"
AIDS deaths,2006,North Carolina,37,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.3,457,"7,310,397"
AIDS deaths,2006,North Dakota,38,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.9,5,"536,595"
AIDS deaths,2006,Northern Mariana Islands,69,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,"46,926"
AIDS deaths,2006,Ohio,39,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.1,295,"9,538,583"
AIDS deaths,2006,Oklahoma,40,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.3,98,"2,935,449"
AIDS deaths,2006,Oregon,41,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,97,"3,069,036"
AIDS deaths,2006,Pennsylvania,42,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.6,697,"10,515,895"
AIDS deaths,2006,Puerto Rico,72,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,19.6,628,"3,211,903"
AIDS deaths,2006,Rhode Island,44,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.1,37,"895,571"
AIDS deaths,2006,South Carolina,45,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.1,365,"3,598,884"
AIDS deaths,2006,South Dakota,46,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,10,"649,336"
AIDS deaths,2006,Tennessee,47,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.7,337,"5,045,626"
AIDS deaths,2006,Texas,48,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.6,"1,406","18,603,127"
AIDS deaths,2006,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,11.3,10,"88,859"
AIDS deaths,2006,Utah,49,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.9,37,"1,986,102"
AIDS deaths,2006,Vermont,50,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.9,10,"530,255"
AIDS deaths,2006,Virginia,51,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.5,347,"6,342,103"
AIDS deaths,2006,Washington,53,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.9,152,"5,285,963"
AIDS deaths,2006,West Virginia,54,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.8,27,"1,534,661"
AIDS deaths,2006,Wisconsin,55,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.6,73,"4,643,677"
AIDS deaths,2006,Wyoming,56,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.9,4,"426,103"
AIDS deaths,2007,Alabama,1,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.3,242,"3,837,215"
AIDS deaths,2007,Alaska,2,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.5,14,"553,609"
AIDS deaths,2007,American Samoa,60,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,"44,574"
AIDS deaths,2007,Arizona,4,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,186,"5,124,349"
AIDS deaths,2007,Arkansas,5,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.9,114,"2,337,084"
AIDS deaths,2007,California,6,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.4,"1,601","29,511,575"
AIDS deaths,2007,Colorado,8,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,126,"3,973,696"
AIDS deaths,2007,Connecticut,9,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,8.5,247,"2,914,564"
AIDS deaths,2007,Delaware,10,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,11.5,83,"718,782"
AIDS deaths,2007,District of Columbia,11,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,64.2,324,"504,738"
AIDS deaths,2007,Florida,12,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,14.5,"2,232","15,375,064"
AIDS deaths,2007,Georgia,13,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.8,828,"7,694,977"
AIDS deaths,2007,Guam,66,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.8,5,"130,439"
AIDS deaths,2007,Hawaii,15,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,40,"1,068,448"
AIDS deaths,2007,Idaho,16,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.8,10,"1,201,983"
AIDS deaths,2007,Illinois,17,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.3,561,"10,498,302"
AIDS deaths,2007,Indiana,18,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.1,162,"5,209,546"
AIDS deaths,2007,Iowa,19,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.1,27,"2,475,097"
AIDS deaths,2007,Kansas,20,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.9,44,"2,272,950"
AIDS deaths,2007,Kentucky,21,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.5,89,"3,534,066"
AIDS deaths,2007,Louisiana,22,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,12.7,455,"3,591,660"
AIDS deaths,2007,Maine,23,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2,23,"1,125,664"
AIDS deaths,2007,Maryland,24,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.4,717,"4,670,828"
AIDS deaths,2007,Massachusetts,25,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.4,244,"5,485,672"
AIDS deaths,2007,Michigan,26,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,312,"8,352,760"
AIDS deaths,2007,Minnesota,27,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,65,"4,292,726"
AIDS deaths,2007,Mississippi,28,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,8.2,195,"2,374,909"
AIDS deaths,2007,Missouri,29,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,181,"4,895,008"
AIDS deaths,2007,Montana,30,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.1,9,"804,066"
AIDS deaths,2007,Nebraska,31,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.4,35,"1,448,820"
AIDS deaths,2007,Nevada,32,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.8,120,"2,079,404"
AIDS deaths,2007,New Hampshire,33,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.3,14,"1,111,726"
AIDS deaths,2007,New Jersey,34,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.5,751,"7,170,556"
AIDS deaths,2007,New Mexico,35,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3,48,"1,606,742"
AIDS deaths,2007,New York,36,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,14.5,"2,361","16,270,495"
AIDS deaths,2007,North Carolina,37,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.4,402,"7,460,270"
AIDS deaths,2007,North Dakota,38,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.4,2,"537,657"
AIDS deaths,2007,Northern Mariana Islands,69,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,"45,329"
AIDS deaths,2007,Ohio,39,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.9,280,"9,574,717"
AIDS deaths,2007,Oklahoma,40,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.8,114,"2,962,486"
AIDS deaths,2007,Oregon,41,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.8,86,"3,116,799"
AIDS deaths,2007,Pennsylvania,42,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.5,685,"10,570,882"
